(PRICE)

+----------------------------------+-------+--------+------------+--+
|           neighborhood           |  min  |  max   |    avg     |
+----------------------------------+-------+--------+------------+--+
| NULL                             | NULL  | NULL   | NULL       |
| Tribeca                          | 60    | 86    | 73.0                |
| Tudor City                       | 66    | 66    | 66.0                |
| Union Square                     | 74    | 115   | 98.39285714285714   |
| Upper East Side                  | 12    | 128   | 91.70526315789473   |
| Upper Manhattan                  | 12    | 113   | 64.94285714285714   |
| Upper West Side                  | 12    | 128   | 90.20080321285141   |
| Upper east side                  | 115   | 115   | 115.0               |
| Upper west side                  | 95    | 95    | 95.0                |
| W. 185th Street                  | 70    | 70    | 70.0                |
| Washington Heights               | 49    | 122   | 95.6                |
| West Village                     | 50    | 125   | 93.5625             |
| Yonkers                          | 94    | 94    | 94.0                |
| _Inwood_                         | 75    | 75    | 75.0                |
| dunellen nj                      | 106   | 106   | 106.0               |
| murray hill                      | 96    | 96    | 96.0                |
| upper east side                  | 74    | 95    | 84.5                |
| upper west side                  | 89    | 113   | 101.0               |
| uptown                           | 65    | 80    | 74.5                |
| west village                     | 114   | 114   | 114.0               |
+----------------------------------+-------+-------+---------------------+--+
